id,label,artist,src
319,输了你赢了世界又如何 (Live),林俊杰,林俊杰 - 输了你赢了世界又如何 (Live).mp3
320,少年,李荣浩,李荣浩 - 少年.mp3
321,アンチクロックワイズ,After the Rain,After the Rain - アンチクロックワイズ.mp3
322,明明就,周杰伦,周杰伦 - 明明就.mp3
323,借 (Live),毛不易,毛不易 - 借 (Live).mp3
324,林俊杰,不能说的秘密,不能说的秘密-林俊杰.mp3
325,认真的雪,薛之谦,薛之谦 - 认真的雪.mp3
326,列王的纷争,王力宏,王力宏 - 列王的纷争.mp3
327,英雄,周杰伦,周杰伦 - 英雄.mp3
328,前前前世,RADWIMPS,RADWIMPS - 前前前世 - Movie版.mp3
329,嗯,李荣浩,李荣浩 - 嗯.mp3
330,海绵宝宝,回音哥,回音哥 - 海绵宝宝.mp3
331,告白气球,周杰伦,周杰伦 - 告白气球.mp3
332,爱情废柴,周杰伦,周杰伦 - 爱情废柴.mp3
333,手心的蔷薇,林俊杰、G.E.M.邓紫棋,林俊杰、G.E.M.邓紫棋 - 手心的蔷薇.mp3
334,后羿,李荣浩,李荣浩 - 后羿.mp3
335,进阶,林俊杰,林俊杰 - 进阶.mp3
336,可惜没如果,林俊杰,林俊杰 - 可惜没如果.mp3
337,现在的我和她,林俊杰,林俊杰 - 现在的我和她.mp3
338,心墙,林俊杰,林俊杰 - 心墙.mp3
339,白玫瑰,陈奕迅,陈奕迅 - 白玫瑰.mp3
340,屋顶,周杰伦、温岚,周杰伦、温岚 - 屋顶.mp3
341,怪咖,薛之谦,薛之谦 - 怪咖.mp3
342,Alice Good Night (MV版),Riin,Riin - Alice Good Night (MV版).mp3
343,伤心的人别听慢歌 (贯彻快乐) (Live),S.H.E、五月天,S.H.E、五月天 - 伤心的人别听慢歌 (贯彻快乐) (Live).mp3
344,五月天,生存以上生活以下,生存以上生活以下-五月天.mp3
345,Now You See Me,周杰伦,周杰伦 - Now You See Me.mp3
346,好久不见,陈奕迅,陈奕迅 - 好久不见.mp3
347,七里香,周杰伦,周杰伦 - 七里香.mp3
348,林俊杰,Lemon Tree,Lemon Tree-林俊杰.mp3
349,木乃伊,林俊杰,林俊杰 - 木乃伊.mp3
350,珊瑚海,周杰伦、梁心颐,周杰伦、梁心颐 - 珊瑚海.mp3
351,Thinking Out Loud,Ed Sheeran,Ed Sheeran - Thinking Out Loud.mp3
352,我们很好,林俊杰,林俊杰 - 我们很好.mp3
353,下雨了,薛之谦,薛之谦 - 下雨了.mp3
354,i just wanna run,the downtown fiction,the downtown fiction - i just wanna run.mp3
355,冻结,林俊杰,林俊杰 - 冻结.mp3
356,吴青峰,逆光,逆光-吴青峰.mp3
357,青花瓷,周杰伦,周杰伦 - 青花瓷.mp3
358,后来的我们,五月天,五月天 - 后来的我们.mp3
359,爱要怎么说出口 (Live),林俊杰,林俊杰 - 爱要怎么说出口 (Live).mp3
360,最长的电影,周杰伦,周杰伦 - 最长的电影.mp3
361,传说,薛之谦,薛之谦 - 传说.mp3
362,Sugar,Maroon 5,Maroon 5 - Sugar.mp3
363,Fluquor,Rin'、Onoken,Rin'、Onoken - Fluquor.mp3
364,单车,陈奕迅,陈奕迅 - 单车.mp3
365,我好像在哪见过你,薛之谦,薛之谦 - 我好像在哪见过你.mp3
366,那些你很冒险的梦,林俊杰,林俊杰 - 那些你很冒险的梦.mp3
367,One Shot,林俊杰、王力宏,林俊杰、王力宏 - One Shot.mp3
368,一路向北,周杰伦,周杰伦 - 一路向北.mp3
369,Despacito 缓缓 (Mandarin Version),Luis Fonsi、林俊杰,Luis Fonsi、林俊杰 - Despacito 缓缓 (Mandarin Version).mp3
370,东风破,周杰伦,周杰伦 - 东风破.flac
371,穿越,林俊杰,林俊杰 - 穿越.mp3
372,安娜的橱窗,封茗囧菌,封茗囧菌 - 安娜的橱窗.mp3
373,菊花台,周杰伦,周杰伦 - 菊花台.mp3
374,六月的雨,胡歌,胡歌 - 六月的雨.mp3
375,夢灯籠,RADWIMPS,RADWIMPS - 夢灯籠.mp3
376,演员和歌手,陈坤、李荣浩,陈坤、李荣浩 - 演员和歌手.mp3
377,甜甜的,周杰伦,周杰伦 - 甜甜的.mp3
378,Lifting You,N.E.R.D、Ed Sheeran,N.E.R.D、Ed Sheeran - Lifting You.mp3
379,Cries in a Distance,林俊杰,林俊杰 - Cries in a Distance.mp3
380,只要有你的地方 (晚安版),林俊杰,林俊杰 - 只要有你的地方 (晚安版).mp3
381,关键词,林俊杰,林俊杰 - 关键词.mp3
382,unravel,TK from 凛として時雨,TK from 凛として時雨 - unravel.mp3
383,借口,周杰伦,周杰伦 - 借口.mp3
384,我很想爱他,林俊杰,林俊杰 - 我很想爱他.mp3
385,歌谣,李荣浩,李荣浩 - 歌谣.mp3
386,莎士比亚的天份,林俊杰,林俊杰 - 莎士比亚的天份.mp3
387,All Falls Down,Alan Walker、Noah Cyrus、Digital Farm Animals,Alan Walker、Noah Cyrus、Digital Farm Animals - All Falls Down.mp3
388,'I' Novel,RADWIMPS,RADWIMPS - 'I' Novel.mp3
389,星晴,周杰伦,周杰伦 - 星晴.mp3
390,迷迭香,周杰伦,周杰伦 - 迷迭香.mp3
391,说谎,林宥嘉,林宥嘉 - 说谎.mp3
392,都一样,李荣浩,李荣浩 - 都一样.mp3
393,听见下雨的声音,周杰伦,周杰伦 - 听见下雨的声音.mp3
394,Maps,Maroon 5,Maroon 5 - Maps.mp3
395,无与伦比的美丽,苏打绿,苏打绿 - 无与伦比的美丽.mp3
396,See You Again,Wiz Khalifa、Charlie Puth,Wiz Khalifa、Charlie Puth - See You Again.mp3
397,入阵曲,五月天,五月天 - 入阵曲.mp3
398,刘昊霖,儿时,儿时-刘昊霖.mp3
399,蒲公英的约定,周杰伦,周杰伦 - 蒲公英的约定.mp3
